num,A,Lat,Lng,B,C,D,E,F
1,1304257490.65,34.74425831,127.74898689,21.029660211,149.410679612,1.683868309,0.423094730,2.61
2,1304267490.45,34.74417591,127.74904364,19.919493801,150.540570486,1.731932283,0.404567657,2.63
3,1304277490.52,34.74409652,127.74909522,18.831022298,152.476942221,1.155549266,0.110422322,2.66
4,1304287490.74,34.74402011,127.74913875,17.158792235,156.636957229,0.077802148,0.637603906,2.73
5,1304297490.52,34.74395133,127.74916796,14.279599175,163.485816097,-1.546426808,2.234558553,2.85
6,1304307490.61,34.74389156,127.74918359,12.085529928,169.630269410,-2.278652275,2.401054523,2.96
7,1304317490.73,34.74384071,127.74918950,9.890096292,175.822979532,-1.635696129,2.633816297,3.07
8,1304327490.29,34.74380062,127.74918708,7.237118480,184.574853971,-1.792323402,3.143723733,3.22
9,1304337490.81,34.74377291,127.74918023,4.999085206,190.843425498,-0.802696429,2.971963606,3.33
10,1305037490.43,34.74374867,127.74917400,1.985721989,191.906828240,-0.543234258,3.941041894,3.35
11,1305047490.86,34.74373430,127.74917123,4.243819530,191.618976812,-0.137818960,4.063467260,3.34
12,1305057490.37,34.74370986,127.74916801,6.066404498,187.792357637,-0.287591076,3.013771377,3.28
13,1305067490.77,34.74367850,127.74916868,7.371938622,179.668363650,-0.986809036,3.615929648,3.14
14,1305077490.51,34.74364131,127.74917619,8.983158129,169.338525447,-0.843734358,3.483383650,2.96
15,1305087490.65,34.74360144,127.74919708,9.978544334,153.195536503,-1.701122953,1.682081635,2.67
16,1305097490.40,34.74356554,127.74923682,11.047905112,132.138314825,-1.174429197,-0.201039199,2.31
17,1305107490.91,34.74354136,127.74929604,12.658587484,111.119256237,-0.778376964,-1.225764336,1.94
18,1305117490.21,34.74352342,127.74937000,14.587485007,105.054352327,0.225000732,-1.834703609,1.83
19,1305127500.06,34.74350723,127.74945485,16.367781775,101.368160512,1.514970849,-2.263801405,1.77
20,1305137490.40,34.74349271,127.74955040,18.130428605,99.891573609,2.086420561,-2.371222424,1.74
21,1305147490.95,34.74347722,127.74965467,19.486112854,99.940084861,2.207499668,-2.833770267,1.74
22,1305157490.47,34.74346119,127.74976352,19.926215644,100.147968586,2.385045141,-2.889114754,1.75
23,1305167490.96,34.74344304,127.74987204,19.419413480,102.641484533,1.891215518,-2.339919180,1.79
24,1305177490.42,34.74341886,127.74997480,18.582089777,107.805103695,1.238292377,-2.019379280,1.88
25,1305187490.76,34.74338754,127.75006851,17.680771380,113.798401061,1.371884915,-1.580996255,1.99
26,1305197490.62,34.74335104,127.75015385,16.791152254,118.321912207,1.835170302,-0.587436630,2.07
27,1305207490.82,34.74331371,127.75023365,15.870652688,119.476696527,1.790013022,-0.796872812,2.09
28,1305217490.46,34.74327689,127.75030849,14.974689892,121.665686341,1.345910942,0.027614252,2.12
29,1305227490.77,34.74323935,127.75037762,14.222870412,123.909167825,1.018610081,-0.244713225,2.16
30,1305237490.79,34.74320186,127.75044355,14.128547708,124.800253491,0.320727040,-0.128365079,2.18
31,1305247490.68,34.74316294,127.75050860,14.467790403,126.033090699,0.729988142,-0.227481283,2.20
32,1305257490.91,34.74312181,127.75057473,15.001916509,126.601211756,0.616887797,0.003665868,2.21
33,1305267490.56,34.74307860,127.75064235,15.432066299,127.711736210,0.878563859,-0.052747925,2.23
34,1305277490.90,34.74303228,127.75071113,16.080440573,129.222899664,0.766217853,0.086053159,2.26
35,1305287490.43,34.74298316,127.75078183,16.839610332,130.150778463,0.845024640,-0.195282733,2.27
36,1305297490.93,34.74293171,127.75085543,17.359887697,130.015809519,1.185863434,-0.132157727,2.27
37,1305307490.39,34.74287995,127.75093077,17.491082289,129.306502681,1.599860198,-0.147504699,2.26
38,1305317490.64,34.74282872,127.75100745,17.638275092,128.711151485,1.474192225,-0.203079838,2.25
39,1305327490.75,34.74277725,127.75108537,17.883613113,128.569224877,0.869313840,-0.062693190,2.24
40,1305337490.64,34.74272550,127.75116267,17.366075649,128.757853724,1.179727594,-0.375971862,2.25
41,1305347490.98,34.74267585,127.75123797,17.098427262,128.280194212,1.127605258,-0.266242302,2.24
42,1305357490.59,34.74262699,127.75131206,16.760735263,128.979225728,0.476944636,0.092753968,2.25
43,1305367490.94,34.74257558,127.75138423,17.040436994,131.322830170,1.267855532,-0.412116760,2.29
44,1305377490.46,34.74252227,127.75145334,16.959520902,133.343135623,1.238834230,0.033555952,2.33
45,1305387500.17,34.74246618,127.75152386,17.847325168,133.992395949,0.934331075,-0.058966090,2.34
46,1305397490.53,34.74240676,127.75159682,18.596797749,134.406534026,1.131303650,-0.179803616,2.35
47,1305407490.82,34.74234607,127.75167055,18.426680976,134.833714426,0.828648784,-0.100868049,2.35
48,1305417490.47,34.74228587,127.75174220,17.879927778,135.317009004,1.410421710,-0.108483921,2.36
49,1305427490.98,34.74222791,127.75181005,16.868438624,135.770756700,1.388290617,-0.135325554,2.37
20210908,130425
